Tweet_content,Sentiment Score
rt avogroovy “the soldiers,0
rt washingtonpost texas tries to shore up hospital capacity in el paso as coronavirus cases surge nationwide https//tco/jumwbstvvb,0
rt welshgasdoc imagine being as blind,-1
rt ben_johns mps shouldn’t get expenses,0
rt bucksexton people are dying because of shut downs- in this case,-1
but sure,0
rt torontostar cancer surgeons in ontario are reporting a sharp rise in the number of people coming to hospital with advanced cancers it…,1
rt chidiodinkalu folorunsho olabisi was listed missing following the lekkimassacre ,0
his body was found by his relatives at the mortuar…,0
rt rishibagree new twitter a/c,0
only 2-3 followers,0
one tweet,0
never tagged sonu sood,0
no location mentioned,0
no contact details,0
no email addr…,0
rt latimes monica ramirez drove herself to the er on a july afternoon she was 30 weeks pregnant and she could not breathe,0
she woke fro…,0
rt _lauryncalo22 all my people in the valley/la,0
rt _lauryncalo22 all my people in the valley/la,0
rt betoorourke just got off the phone w a woman whose dad amp mom have covid and are at providence hospital in el paso her dad is a korea…,1
rt _lauryncalo22 all my people in the valley/la,0
rt bucksexton people are dying because of shut downs- in this case,-1
but sure,0
rt clubspeaks i lost my blue cross plan under obama amp joebiden my new plan went up 1000 a month lost my doctor amp hospital deductible w…,-2
rt _lauryncalo22 all my people in the valley/la,0
rt _lauryncalo22 all my people in the valley/la,0
got an update from my brother that our dad had been taken from the medical center he was at to a hospital,0
rt alexberenson lockdowns kill unnecessary media-driven panic kills,-4
rt ranscombepeter peterstefanovi2 zero malnourished children have turned up in local hospital according to records maybe there is a spe…,0
rt hamada_najar in a heart-breaking scene,0
rt aghamilton29 we knew this was coming delayed medical treatments and a reduction in preventative visits will lead to deaths there is…,0
rt bucksexton people are dying because of shut downs- in this case,-1
but sure,0
rt rmnvhill //tw attempted murder,-1
,0
,0
,0
,0
the police gave the fascist fighting squad permission to ‘take care of the protestors’ and so t…,-1
rt trumankelly most of the likes on this tweet are from bots with less than 5 followers,1
and the taxpayer is footing their wages,0
twit…,0
thehill a trump super spreader trump has no responsibility toward his supporters he doesn’t care if they get cov… https//tco/s64j6wmk9v,3
spencermorgan93 geoffarsenal what don’t you get it’s about the nhs if 025% of the population need access to a… https//tco/8fqt6rd52p,0
rt chrismattmann it’s actually a very known consequence of a particular policy choice one that many of us suggested early on would have…,0
"rt ddale8 as the president says things are going ""beautifully"" and that we're just catching mild cases because we're doing so much testin…",0
"rt ddale8 as the president says things are going ""beautifully"" and that we're just catching mild cases because we're doing so much testin…",0
rt alexberenson lockdowns kill unnecessary media-driven panic kills,-4
rt lindapatch essenviews who in the goddamn hell is back to rallies 6 days after getting out of the hospital with covid at 74 no less…,-1
rt aghamilton29 we knew this was coming delayed medical treatments and a reduction in preventative visits will lead to deaths there is…,0
rt eseoheodigene nwaokenye peace is a 22 year old daughter of an aged father diagnosed with breast cancer at the irrua specialist hospita…,0
rt ctvcalgary calgary's covid-19 field hospital hasn't seen a single patient with the illness yyc https//tco/t58azxvvww,0
rt torontostar cancer surgeons in ontario are reporting a sharp rise in the number of people coming to hospital with advanced cancers it…,1
rt bucksexton people are dying because of shut downs- in this case,-1
but sure,0
rt vee_ron_ica_ lesstonehouse jeff_kennett why do you think he lost in a landslide sold and privatised what he could cut public servi…,-1
rt johnegibson hey,0
rt chidiodinkalu folorunsho olabisi was listed missing following the lekkimassacre ,0
his body was found by his relatives at the mortuar…,0
rt aghamilton29 we knew this was coming delayed medical treatments and a reduction in preventative visits will lead to deaths there is…,0
rt chidiodinkalu folorunsho olabisi was listed missing following the lekkimassacre ,0
his body was found by his relatives at the mortuar…,0
rt torontostar cancer surgeons in ontario are reporting a sharp rise in the number of people coming to hospital with advanced cancers it…,1
rt torontostar cancer surgeons in ontario are reporting a sharp rise in the number of people coming to hospital with advanced cancers it…,1
rt betoorourke just got off the phone w a woman whose dad amp mom have covid and are at providence hospital in el paso her dad is a korea…,1
markjudy19 errolwebber late term abortions are only used in medical emergencies and usually in the hospital my s… https//tco/lvxlv2ou5x,0
bates smart takes holistic approach with hospital wing https//tco/sy1kw0nmvg https//tco/wb0d9hpnjz,1
rt missuscreighton slipperyslopes6 i agree-i really don’t understand given what europe is now experiencing it’s as if we’re are fightin…,0
they just called at the hospital to threating me cause obviously after more than 6 times that they refuse to do t… https//tco/3cdudfp26z,-1
rt chidiodinkalu folorunsho olabisi was listed missing following the lekkimassacre ,0
his body was found by his relatives at the mortuar…,0
rt myheromemes *on the phone*,0
aizawa why are you all not back yet,0
sero we’re at the hospital,0
aizawa why what happened,0
sero ki…,0
rt ossoff another preventable and devastating rural hospital closure ,-1
i will fight to expand medicaid and deliver resources for georgia…,0
rt mattbc we simply do not have the hospital capacity to sustain this,0
rt avogroovy “the soldiers,0
moscowmitch has heart disease,0
rt cathyjoegpt betoorourke 🙏🙏💙💙,0
prayers for every american fighting for their lives against covid - ,0
prayers for all healthcare workers,0
rt stnicholas_ng st nicholas hospital fully identify with the current situation and our sympathy is with the victims of the unfortunate…,0
texas makes convention center a hospital amid covid surge,0
https//tco/3czd2ni2cg,0
rt _lauryncalo22 all my people in the valley/la,0
rt sruhle there are some very large trump donors who sit on hospital boards,1
how do…,0
approaching summer in australia as the northern hemisphere plunges into the depths of infection,-1
last night gavin was readmitted to american family's icu family and friends say his condition is as serious as it'… https//tco/1rzv5eon0t,0
"rt ddale8 as the president says things are going ""beautifully"" and that we're just catching mild cases because we're doing so much testin…",0
rt eseoheodigene nwaokenye peace is a 22 year old daughter of an aged father diagnosed with breast cancer at the irrua specialist hospita…,0
rt _lauryncalo22 all my people in the valley/la,0
rt _lauryncalo22 all my people in the valley/la,0
rt jimlnlips this is my granpa,0
this is really bad news,-1
rt chidiodinkalu folorunsho olabisi was listed missing following the lekkimassacre ,0
his body was found by his relatives at the mortuar…,0
rt bdonorspakistan rt urgent b+ blood group required at services hospital  lahore please contact on 03219400034 spreadtheword dona…,-1
rt twosl0wdancers hey please help  i owe 1700 to the hospital er in bills because i tested positive for covid amp have no way to pay t…,1
rt themendozawoman fight for the nhs with your whole chest ,0
this is what happens without it,0
judgeyourself99 realdonaldtrump keano you are a total loon walter reed national military medical center is a mi… https//tco/szxpf9zblk,0
girbagely i got off of work the other day twelve hour shift at the hospital to a text from my friend asking why… https//tco/i2fxgpwuqc,1
rt nbcwashington tafara williams,0
govmlg nmdoh your policies are terrible who is getting the $$$$ for the gibson hospital you are not using  i wo… https//tco/p7yxk7sfmg,-1
rt whitehouse this fall,-1
patsystew that was only for one hospital the the one she was transferred from was 400k but completely covered by insurance it’s crazy,-1
therrienv 12mjr13 kherriage ryanafournier defensive production act for ventilators hospital ships to east and… https//tco/kcmidkwv5e,-1
rt bucksexton people are dying because of shut downs- in this case,-1
but sure,0
"rt eileeniorio and yet ireland has just imposed a ""level 5"" lockdown of its citizens for 6 weeks deaths are thankfully v low too ",0
why a…,0
rt kurteichenwald my sister received her bill for the time her husband spent in the hospital with covid,0
rt chidiodinkalu folorunsho olabisi was listed missing following the lekkimassacre ,0
his body was found by his relatives at the mortuar…,0
rt uressien walking into the hospital for the 13th day in a row after hearing it suggested that the rising number of covid19 cases and d…,0
rt stnicholas_ng st nicholas hospital fully identify with the current situation and our sympathy is with the victims of the unfortunate…,0
rt betoorourke just got off the phone w a woman whose dad amp mom have covid and are at providence hospital in el paso her dad is a korea…,1
rt riotwomennn thank you  finally  the american medical association tweets a message to americans ,1
physicians are not inflating the c…,0
rt stnicholas_ng st nicholas hospital fully identify with the current situation and our sympathy is with the victims of the unfortunate…,0
rt manuelfherrador ¿a qué os suena ayuso traducida al inglés,0
it's a great hospital it's gonna be the greatest hospital with more tha…,2
rt photopro28 99freemind jenninemorgan the facts are the hospitals have been far under capacity during covid 1000s of serious procedur…,0
i think the gop and especially the gop governors have shown they lack the intelligence,0
erbmjha sonusood it seems mr sonusood ,0
1 collects list  from hospital where surgeries have already been done… https//tco/mkglpuec70,0
rt _lauryncalo22 all my people in the valley/la,0
my heart goes out to you and your family 😷💙,0
rt _lauryncalo22 all my people in the valley/la,0
go donate,0
never seen an albino obituary poster,0
drdavidsamadi the us numbers are mostly fake so the europeans being closer to communism cheat even more  my docto… https//tco/ehhtwhhcas,-2
rt bhaveepatel08 a great opportunity to come and join our forward thinking paediatric pharmacy team at morriston hospital,1
rt washingtonpost texas tries to shore up hospital capacity in el paso as coronavirus cases surge nationwide https//tco/jumwbstvvb,0
rt stnicholas_ng st nicholas hospital fully identify with the current situation and our sympathy is with the victims of the unfortunate…,0
rt _lauryncalo22 all my people in the valley/la,0
rt immoralishme my 90 year old granny was sick last week but got better and was sent home from the hospital she’s still sick and went ba…,-1
rt _buckmelanoma_ angie_rasmussen hoaxeye i have family that says otherwise just in the past week an elderly relative passed w/ pneumo…,0
bdg_xenoxiti yeah dude,0
rt lynnluvseddie i work at a hospital and this is not true,1
rt sruhle there are some very large trump donors who sit on hospital boards,1
how do…,0
rt alexberenson lockdowns kill unnecessary media-driven panic kills,-4
rt frasernelson at the peak of covid hospital cases,0
luvsgoddess10 he drove in the original halloween as well after he fled the mental hospital when he stole the car… https//tco/ugbc4lbtba,0
been in the hospital five days this was not the plan,0
rt houstonchron federal disaster team sent,-1
rt stnicholas_ng st nicholas hospital fully identify with the current situation and our sympathy is with the victims of the unfortunate…,0
rt chidiodinkalu folorunsho olabisi was listed missing following the lekkimassacre ,0
his body was found by his relatives at the mortuar…,0
rt melaneelthomas impaired driving is,-1
rt latimes monica ramirez drove herself to the er on a july afternoon she was 30 weeks pregnant and she could not breathe,0
she woke fro…,0
rt sruhle there are some very large trump donors who sit on hospital boards,1
how do…,0
"rt ddale8 as the president says things are going ""beautifully"" and that we're just catching mild cases because we're doing so much testin…",0
rt jonesthebosher winter is always tough for the nhs but this year will be even tougher if increasing numbers of patients with covid need…,2
rt lindapatch essenviews who in the goddamn hell is back to rallies 6 days after getting out of the hospital with covid at 74 no less…,-1
manuelpf05 mstang1970 guano_col chuckgrassley i know it’s hard for you to understand the difference between tes… https//tco/cf4hkqibys,-1
rt senatortom2 i am going to ask this again what’s going to happen when all those hospital bills come in the mail,0
rt jed_mercurio for an understanding of respiratory droplet transmission,0
rt immoralishme my 90 year old granny was sick last week but got better and was sent home from the hospital she’s still sick and went ba…,-1
dictatordan,0
i hope rachel is wrong but given andrews track record she is probably on the money,-1
this will be a tota… https//tco/kcgavysrdc,0
rt ingrahamangle read about the mother who couldn’t buy clothes for her child in the hospital  “covid in wales supermarket rules 'will…,0
rt chidiodinkalu folorunsho olabisi was listed missing following the lekkimassacre ,0
his body was found by his relatives at the mortuar…,0
rt ossoff another preventable and devastating rural hospital closure ,-1
i will fight to expand medicaid and deliver resources for georgia…,0
rt sruhle there are some very large trump donors who sit on hospital boards,1
how do…,0
rt stnicholas_ng st nicholas hospital facilities also,0
i miss the night we found out trump went to the hospital,0
rt _lauryncalo22 all my people in the valley/la,0
rt _lauryncalo22 all my people in the valley/la,0
rt chidiodinkalu folorunsho olabisi was listed missing following the lekkimassacre ,0
his body was found by his relatives at the mortuar…,0
rt mattbc we simply do not have the hospital capacity to sustain this https//tco/polksahcmj,0
rt jeremyswallace and in case you missed it,-1
sandygratt stupid government  what about having to buy nightwear for people in hospitalslippersunderwearit’… https//tco/d70ddiqqgb,-1
rt _lauryncalo22 all my people in the valley/la,0
vinoreyna there’s an emergency pet hospital in visalia 🥺,-1
rt schemaly never forget,0
rt _lauryncalo22 all my people in the valley/la,0
rt poetryofhobi send a card today to help make sure kids in the hospital feel some extra-special joy on halloween this year--plus,1
imallexx thank you for improving my day i’ve been in hospital and i’ve been having a lot of pain i go back to ho… https//tco/urnuijr5ma,1
rt drericding new—texas’s epidemic so bad now,-2
rt _lauryncalo22 all my people in the valley/la,0
rt sonusood that’s the best part brotheri find a needy amp they somehow find me it’s about,0
“intentions”,0
rt drbobphillips love the treatment flow chart neat,2
rt jamessurowiecki i thought virus was going to virus,-2
ksorbs what is there chance of spending two weeks in a hospital,0
try to think like a christian for once,1
rt jed_mercurio for an understanding of respiratory droplet transmission,0
wolfblitzer realdonaldtrump death rate and hospital rates down wolf,-1
rt manuelfherrador ¿a qué os suena ayuso traducida al inglés,0
it's a great hospital it's gonna be the greatest hospital with more tha…,2
if im ever in some kind of accident and wheeled into hospital etc,0
rt alexberenson lockdowns kill unnecessary media-driven panic kills,-4
kayleighmcenany realdonaldtrump that's a lot of people not wearing masks how many of them will get sick,-1
rt bucksexton people are dying because of shut downs- in this case,-1
but sure,0
rt _lauryncalo22 all my people in the valley/la,0
rt chidiodinkalu folorunsho olabisi was listed missing following the lekkimassacre ,0
his body was found by his relatives at the mortuar…,0
rt nh_india india’s first worldcup-winning cricket captain kapildev was on sunday discharged from the hospital after undergoing a succ…,0
rt bucksexton people are dying because of shut downs- in this case,-1
but sure,0
ask her was it worth putting hands on brizzie,1
rt bucksexton people are dying because of shut downs- in this case,-1
but sure,0
rt jimlnlips this is my granpa,0
rt clubspeaks i lost my blue cross plan under obama amp joebiden my new plan went up 1000 a month lost my doctor amp hospital deductible w…,-2
rt chidiodinkalu folorunsho olabisi was listed missing following the lekkimassacre ,0
his body was found by his relatives at the mortuar…,0
rt jimlnlips this is my granpa,0
rt anon_fa_mous biden later garnered controversy by making incorrect allegations that the truck’s driver,-3
“there’s not a lot of downsides to keeping a person’s mouth clean what we compete against is nurses,0
jobs opportunity in des moines,0
rt rmnvhill //tw attempted murder,-1
,0
,0
,0
,0
the police gave the fascist fighting squad permission to ‘take care of the protestors’ and so t…,-1
rt washingtonpost texas tries to shore up hospital capacity in el paso as coronavirus cases surge nationwide https//tco/jumwbstvvb,0
rt manuelfherrador ¿a qué os suena ayuso traducida al inglés,0
it's a great hospital it's gonna be the greatest hospital with more tha…,2
rt kurteichenwald my sister received her bill for the time her husband spent in the hospital with covid,0
two others escaped the house fire,0
rt jed_mercurio for an understanding of respiratory droplet transmission,0
rt stnicholas_ng st nicholas hospital fully identify with the current situation and our sympathy is with the victims of the unfortunate…,0
rt kurteichenwald my sister received her bill for the time her husband spent in the hospital with covid,0
rt sruhle there are some very large trump donors who sit on hospital boards,1
how do…,0
rt torontostar cancer surgeons in ontario are reporting a sharp rise in the number of people coming to hospital with advanced cancers it…,1
rt sruhle there are some very large trump donors who sit on hospital boards,1
how do…,0
rt _lauryncalo22 all my people in the valley/la,0
flipant,0
realdonaldtrump the more tests you do,0
rt fine_bts dearest army,0
use the link below to send…,0
according to the virginia hospital and healthcare association,0
rt stnicholas_ng st nicholas hospital fully identify with the current situation and our sympathy is with the victims of the unfortunate…,0
rt emperordonnie1 gopchairwoman realdonaldtrump turning the corner,0
yeah,0
rt jeremyswallace new federal disaster teams are now also heading for el paso this week to deal with the surge in covid-19 hospitalizati…,-1
rt latimes monica ramirez drove herself to the er on a july afternoon she was 30 weeks pregnant and she could not breathe,0
she woke fro…,0
rt schemaly never forget,0
rt professorthorgi man i am trying so hard not to be a crazed conspiracy theorist right now but well let's just say if we survive this…,0
gixininja my grandfather was once bit on his foot by a red back spider in his garden/work boot lucky he lived near a hospital,1
rt stnicholas_ng st nicholas hospital facilities also,0
rt afrahnasser what brutality a cancer clinic in taiz was hit yesterday with heavy weapons many in my timeline in taiz tweeted this pix…,-2
"mauvetriforce they did not turn away nh patients  they forced covid patients on nursing homes to ""spare capacity""… https//tco/gji5ijjchg",0
private william fox was wounded in action at the dardanelles on 22 july 1915 invalided to england admitted to the… https//tco/er3eui51ku,0
rt latimes monica ramirez drove herself to the er on a july afternoon she was 30 weeks pregnant and she could not breathe,0
she woke fro…,0
rt freakyyyaya good morning ☀️ sorry i haven’t been posting much lately haven’t feeling too good  but here’s some hospital titties for y…,1
"rt exjon an ""unintended consequence"" some of us warned about in march monomaniacal focus on covid is a threat to public health",-2
rt manuelfherrador ¿a qué os suena ayuso traducida al inglés,0
it's a great hospital it's gonna be the greatest hospital with more tha…,2
rt alexberenson lockdowns kill unnecessary media-driven panic kills https//tco/nbbixaazxz,-4
janepowers1 craig_a_spencer the workers don't profit but the president is correct but trump is 100% correct about… https//tco/592btdcnse,3
rt betoorourke just got off the phone w a woman whose dad amp mom have covid and are at providence hospital in el paso her dad is a korea…,1
rt __gershom two hilarious updates on the psychiatric hospital that was looted in calabar yesterday,1
some patients were set free by the m…,1
rt jamaicagleaner a motorist had to be cut from this car after crashing into a light pole along the west-bound lane of marcus garvey driv…,-1
rt vminreport please report these disgusting people being so disrespectful to t/h and his grandma,-2
x https//tco/vzplh0boqz,0
x https//t…,0
rt betoorourke just got off the phone w a woman whose dad amp mom have covid and are at providence hospital in el paso her dad is a korea…,1
rt kurteichenwald my sister received her bill for the time her husband spent in the hospital with covid,0
rt _lauryncalo22 all my people in the valley/la,0
how long will that last though,0
"rt ddale8 as the president says things are going ""beautifully"" and that we're just catching mild cases because we're doing so much testin…",0
rt drericding new—texas’s epidemic so bad now,-2
rt jamessurowiecki i thought virus was going to virus,-2
rt youarelobbylud a thread on racism in covid management in australia first,-1
rt chidiodinkalu folorunsho olabisi was listed missing following the lekkimassacre ,0
his body was found by his relatives at the mortuar…,0
speed on a wet road smart,1
some lonely person has bought some gifts off my wish list and i would like to say i’m very thankful going into hos… https//tco/n9xxnbem9g,1
rt chloebooker wowie,0
that it escaped box hill ho…,0
"rt ddale8 as the president says things are going ""beautifully"" and that we're just catching mild cases because we're doing so much testin…",0
rt avagg go donate,0
lynnluvseddie i don't work at a hospital and  i know it's not true,1
rt manuelfherrador ¿a qué os suena ayuso traducida al inglés,0
it's a great hospital it's gonna be the greatest hospital with more tha…,2
rt white_mosco these one of the journalist that witness the burial of buhari in saudi arabia on  february's 2017 he has all the evidence…,0
rt avogroovy “the soldiers,0
donaldjtrumpjr fact trump is doing nothing to help americans cope with covid19 ,1
utah is prioritizing hospital b… https//tco/2spwcaz69o,0
want to work at allied universal we're hiring in twinsburg,1
rt alexberenson lockdowns kill unnecessary media-driven panic kills,-4
rt nh_india india’s first worldcup-winning cricket captain kapildev was on sunday discharged from the hospital after undergoing a succ…,0
rt avogroovy “the soldiers,0
rt peytonyager meet kathy cronemiller-on a ventilator fighting covid19 for 2 weeks ,0
her husband - camping outside ,0
as her condition…,0
lfservant5 thespookyhead i only find kaufman in the hospital i didn't found him elsewhere i searched on forums,0
rt ben_johns mps shouldn’t get expenses,0
rt temiokomi st nicholas hospital has denied this,-1
want to give it another shot https//tco/85phz69cer,0
rt modifiedvikas any contacts in shri ganga ram hospital iam_manojgoenka ji is in urgent need we too are trying to to help him see if…,-1
rt ben_johns mps shouldn’t get expenses,0
rt ingrahamangle read about the mother who couldn’t buy clothes for her child in the hospital  “covid in wales supermarket rules 'will…,0
rt manuelfherrador ¿a qué os suena ayuso traducida al inglés,0
it's a great hospital it's gonna be the greatest hospital with more tha…,2
rt gacpars please please please donate and share,0
rt schemaly never forget,0
ratio told me before that there's an old wing in the hospital that's no longer in use,0
rt manuelfherrador ¿a qué os suena ayuso traducida al inglés,0
it's a great hospital it's gonna be the greatest hospital with more tha…,2
rt betoorourke just got off the phone w a woman whose dad amp mom have covid and are at providence hospital in el paso her dad is a korea…,1
rt manuelfherrador ¿a qué os suena ayuso traducida al inglés,0
it's a great hospital it's gonna be the greatest hospital with more tha…,2
rt jeremyswallace new federal disaster teams are now also heading for el paso this week to deal with the surge in covid-19 hospitalizati…,-1
rt betoorourke just got off the phone w a woman whose dad amp mom have covid and are at providence hospital in el paso her dad is a korea…,1
rt stnicholas_ng st nicholas hospital fully identify with the current situation and our sympathy is with the victims of the unfortunate…,0
rt schemaly never forget,0
rt ossoff another preventable and devastating rural hospital closure ,-1
i will fight to expand medicaid and deliver resources for georgia…,0
rt seanagnew unintended but predictable,0
no amount of hospital medications nor all natural medications will kill what they are trying to put into you when… https//tco/8vvfwjqwbc,-1
rt _lauryncalo22 all my people in the valley/la,0
rt gacpars please please please donate and share,0
rt balogunshina98 good day everyone i am passionately and urgently appealing to well meaning people who are willing to contribute to the…,5
rt sirkastiq from the article,0
rt ctvcalgary calgary's covid-19 field hospital hasn't seen a single patient with the illness yyc https//tco/t58azxvvww,0
rt manuelfherrador ¿a qué os suena ayuso traducida al inglés,0
it's a great hospital it's gonna be the greatest hospital with more tha…,2
rt riotwomennn thank you  finally  the american medical association tweets a message to americans ,1
physicians are not inflating the c…,0
rt avogroovy “the soldiers,0
chrisjollyhale hospital,0
he would keep the other shinobi in his embrace for a while,0
tightening his grip around him ,0
silence filled the d… https//tco/w6wcokeh6m,0
rt eseoheodigene nwaokenye peace is a 22 year old daughter of an aged father diagnosed with breast cancer at the irrua specialist hospita…,0
rt chidiodinkalu folorunsho olabisi was listed missing following the lekkimassacre ,0
his body was found by his relatives at the mortuar…,0
will77585957 sharonwhotweets donwinslow well hopefully none of these thousands of voters get sick and are not ab… https//tco/hadrenfzrh,0
rt _lauryncalo22 all my people in the valley/la,0
rt betoorourke just got off the phone w a woman whose dad amp mom have covid and are at providence hospital in el paso her dad is a korea…,1
rt betoorourke just got off the phone w a woman whose dad amp mom have covid and are at providence hospital in el paso her dad is a korea…,1
rt schemaly never forget,0
2 for both of my california boys 🖤,0
rt schemaly never forget,0
rt avagg go donate,0
aishayesufu chiefojukwu fkabudu mrmacaronii savvyrinu,0
pls send hospital number,0
there'll a… https//tco/9os8simqcf,0
rt berniespofforth at the peak of covid 40% of nhs beds were empty 4 times the normal amount,0
rt chidiodinkalu folorunsho olabisi was listed missing following the lekkimassacre ,0
his body was found by his relatives at the mortuar…,0
rt _lauryncalo22 all my people in the valley/la,0
i wonder how long before either hospital inn or station road level crossings are closed forever maybe with a footb… https//tco/broneadecr,1
rt manuelfherrador ¿a qué os suena ayuso traducida al inglés,0
it's a great hospital it's gonna be the greatest hospital with more tha…,2
rt betoorourke just got off the phone w a woman whose dad amp mom have covid and are at providence hospital in el paso her dad is a korea…,1
rt schemaly never forget,0
taking another incomplete so that i can think about the fact my sister has been in the hospital for 2 weeks with a… https//tco/exemy8tf0r,-1
he just gets worse,-1
rt balogunshina98 good day everyone i am passionately and urgently appealing to well meaning people who are willing to contribute to the…,5
oregonian i’ve been told by an md that works at emanuel hospital in portland,1
rt manuelfherrador ¿a qué os suena ayuso traducida al inglés,0
it's a great hospital it's gonna be the greatest hospital with more tha…,2
rt avogroovy “the soldiers,0
krupali realdonaldtrump my daughter,0
rt soundscaper ronnisalt or closing an infectious diseases hospital casualising the workforce destroying the health system,0
rt file411 here realdonaldtrump makes a disgusting and vile claim with absolutely zero facts to support,-1
“doctors get more money and hos…,0
rt kurteichenwald my sister received her bill for the time her husband spent in the hospital with covid,0
rt latimes monica ramirez drove herself to the er on a july afternoon she was 30 weeks pregnant and she could not breathe,0
she woke fro…,0
rt betoorourke just got off the phone w a woman whose dad amp mom have covid and are at providence hospital in el paso her dad is a korea…,1
rt schemaly never forget,0
he frowned and pulled her into a soft hug,2
im taking you to a diffrent doctor outside of hawkins someone who's s… https//tco/4jh6nbufyy,0
rt chidiodinkalu folorunsho olabisi was listed missing following the lekkimassacre ,0
his body was found by his relatives at the mortuar…,0
chadvitridevi that's what i don't like about it you nailed it,1
artificial even her work space,1
texas needs new leadership,0
rt richardaob soundscaper ronnisalt getting rid of 1,0
good job un,1
rt bnodesk australia's hardest-hit state,0
- new cases 0,0
- pos…,0
what about the 8,0
rt essexpr ◾️deaths for any cause within 28 days of a positive test,1
 = covid death,-1
◾️positive test from a procedure that can detect vira…,0
rt jeremyswallace new federal disaster teams are now also heading for el paso this week to deal with the surge in covid-19 hospitalizati…,-1
rt clubspeaks i lost my blue cross plan under obama amp joebiden my new plan went up 1000 a month lost my doctor amp hospital deductible w…,-2
rt manuelfherrador ¿a qué os suena ayuso traducida al inglés,0
it's a great hospital it's gonna be the greatest hospital with more tha…,2
rt _lauryncalo22 all my people in the valley/la,0
rt _lauryncalo22 all my people in the valley/la,0
couldn't keep my doctor,0
couldn't keep my plan,0
couldn't keep up with the payments,0
denverpost but what about hospital bed utilization rates,0
rt cscviews lesstonehouse jeff_kennett a bloody disasterone term sold off everything that wasn’t nailed down including the infectious…,-1
rt chidiodinkalu folorunsho olabisi was listed missing following the lekkimassacre ,0
his body was found by his relatives at the mortuar…,0
not surprised i’ve heard many women have had their yearly mammograms postponed,0
rt schemaly never forget,0
rt schemaly never forget,0
rt basford_h lisamurkowski the university of washington’s institute for health metrics and evaluation released this week and they paint…,0
rt latimes monica ramirez drove herself to the er on a july afternoon she was 30 weeks pregnant and she could not breathe,0
she woke fro…,0
rt clubspeaks i lost my blue cross plan under obama amp joebiden my new plan went up 1000 a month lost my doctor amp hospital deductible w…,-2
hospital and future expenses for willie brown jr https//tco/lc55ynryyw,0
rt torontostar cancer surgeons in ontario are reporting a sharp rise in the number of people coming to hospital with advanced cancers it…,1
rt willowbape tw domestic violence,0
please share and boost,1
hughes_eilir neiljmcevoy same here,0
rt schemaly never forget,0
rt budierreeham maher al-akhras hugs his daughter at kaplan hospital 💔,0
hunger strike day 91,-1
freemaheralakhras palestine 🇵🇸,0
bds …,0
rt saltydkdan **important**,0
alfred paperboxhouse just set up a ko-fi after being admitted to the hospital due to severe health issues…,-1
rt drericding new—texas’s epidemic so bad now,-2
rt manuelfherrador ¿a qué os suena ayuso traducida al inglés,0
it's a great hospital it's gonna be the greatest hospital with more tha…,2
rt stnicholas_ng st nicholas hospital fully identify with the current situation and our sympathy is with the victims of the unfortunate…,0
rt sruhle there are some very large trump donors who sit on hospital boards,1
how do…,0
rt kurteichenwald my sister received her bill for the time her husband spent in the hospital with covid,0
nbcnews trump came to dayton to meet the survivors of the oregon district shootings he left the hospital as his m… https//tco/6y1hhwyxva,1
rt comradekalel i've been putting it off,0
rt kelsea67591086 there are more people living on the street w/ an untreated and severe mental illness than there are those being treated…,-2
rt jaz_patriot lockdowns kills in many ways ,-1
lockdowns kill businesses,-1
lockdowns kill dreams ,-1
lockdowns kill education,-1
lockdowns kil…,0
rt riotwomennn thank you  finally  the american medical association tweets a message to americans ,1
physicians are not inflating the c…,0
rt regmills1 freddythefrog13 leehurstcomic mr2qannon i had covid and was ventilated for 19 days in qehbham at one point my wife was…,0
rt kevin_jackson monash university researchers speed up epilepsy diagnosis with machine learning https//tco/rzctmqousw - a new study b…,0
"rt ddale8 as the president says things are going ""beautifully"" and that we're just catching mild cases because we're doing so much testin…",0
rt _lauryncalo22 all my people in the valley/la,0
caution_cole nickizvik realcandaceo no,0
god bless you,1
rt jeremyswallace and in case you missed it,-1
rt jimlnlips this is my granpa,0
security has been beefed up at the university college hospital uch,0
rt drraymd we‘s been praying so hard for our colleague dr chandra here in ohio,-1
joebiden as 1 of your 1st acts as president of the u…,0
protogaea realdonaldtrump you realize covid treatment is at no cost to the patientright if your insurance doe… https//tco/tmsq1pr2uy,0
rt shaylathespaz the number for the hospital is 806 354-1000 ,0
the address is ,0
1501 coulter st,0
rt ingrahamangle read about the mother who couldn’t buy clothes for her child in the hospital  “covid in wales supermarket rules 'will…,0
rt stnicholas_ng st nicholas hospital fully identify with the current situation and our sympathy is with the victims of the unfortunate…,0
rt ossoff another preventable and devastating rural hospital closure ,-1
i will fight to expand medicaid and deliver resources for georgia…,0
rt erbmjha what's this why 25/09 instead of 25/10 ,0
1 month pichhe chal rhe ho kya sir sonusood  https//tco/8jzebfwoca,0
marieannuk i agree,0
when c19 victims arrive at the hospital,0
just got kicked out of the hospital for telling a covid patient to stay positive,2
rt _lauryncalo22 all my people in the valley/la,0
lexsheaa_ i go to monte vista small animal hospital in turlock bc both of my big dogs went there before i got my p… https//tco/bxfcu1bbxl,0
rt balogunshina98 good day everyone i am passionately and urgently appealing to well meaning people who are willing to contribute to the…,5
fiinbob homeworkeater thehill what is biden offering for covid-19 i hear you,0
rt sbrownsaucy5 mother and baby homes documents,0
cervical check scandal,-1
10,0
rental amp housing crisis,-1
underfunded mental…,0
